Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 63,     Conv, 768, 12, 12, 192, 12, 12, 768, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 768, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 192, 36992, 14, 240f2, ,,,,,,,, L2, DMA, 832, 769, 192, 159744, 0, 24000, ,,,,,,,, 
 64,     Conv, 192, 12, 12, 192, 12, 12, 192, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 192, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 192, 36992, 14, 240f2, ,,,,,,,, L2, DMA, 320, 193, 192, 61440, 0, 9000, ,,,,,,,, 
 65,     Conv, 192, 12, 12, 192, 12, 12, 192, ROW_L, 28, 64, 119, 183, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 192, 36864, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 192, 36992, 14, 2d172, ,,,,,,,, L2, DMA, 1856, 1729, 192, 356352, 0, 9000, ,,,,,,,, 
 66,     Conv, 768, 12, 12, 192, 12, 12, 768, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 768, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 192, 36992, 14, 361f2, ,,,,,,,, L2, DMA, 832, 769, 192, 159744, 0, 24000, ,,,,,,,, 
 67,   Concat, 384, 12, 12, 384, 12, 12, 384,  COL, 0, 0, 155, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 384, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 384, 73856, 14, 72, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 68,     Conv, 384, 12, 12, 384, 12, 12, 384, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 384, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 384, 73856, 14, 72, ,,,,,,,, L2, DMA, 448, 385, 384, 172032, 0, 12000, ,,,,,,,, 
 69,     Conv, 384, 12, 12, 256, 12, 12, 384, ROW_L, 0, 0, 156, 156, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 384, 73728, 0, 0, ,,,,,,,, MSMC, CPU, 192, 183, 256, 49280, 14, 1002f2, ,,,,,,,, L2, DMA, 448, 385, 256, 114688, 0, 12000, ,,,,,,,, 
 70,   Resize, 256, 12, 12, 256, 24, 24, 256,  COL, 0, 0, 183, 170, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 256, 49152, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 256, 180352, 26, 9c166, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 71,   Concat, 512, 24, 24, 512, 24, 24, 512,  COL, 0, 0, 599, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 512, 360448, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 512, 360576, 26, 9c166, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 72,     Conv, 512, 24, 24, 128, 24, 24, 512, ROW_L, 0, 0, 320, 600, 2, 1, 2,,,,,,,,, L2, DMA, 704, 704, 512, 360448, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 66, ,,,,,,,, L2, DMA, 576, 513, 128, 73728, 0, 58000, ,,,,,,,, 
 73,     Conv, 128, 24, 24, 128, 24, 24, 128, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90112, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 66, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 16000, ,,,,,,,, 
 74,     Conv, 128, 24, 24, 128, 24, 24, 128, ROW_L, 52, 64, 587, 651, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90112, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 66, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 16000, ,,,,,,,, 
 75,     Conv, 512, 24, 24, 128, 24, 24, 512, ROW_L, 0, 0, 320, 600, 2, 1, 2,,,,,,,,, L2, DMA, 704, 704, 512, 360448, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 160e6, ,,,,,,,, L2, DMA, 576, 513, 128, 73728, 0, 58000, ,,,,,,,, 
 76,   Concat, 256, 24, 24, 256, 24, 24, 256,  COL, 0, 0, 599, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 256, 180224, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 256, 180352, 26, 66, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 77,     Conv, 256, 24, 24, 256, 24, 24, 256, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 256, 180224, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 256, 180352, 26, 66, ,,,,,,,, L2, DMA, 320, 257, 256, 81920, 0, 2c000, ,,,,,,,, 
 78,     Conv, 256, 24, 24, 128, 24, 24, 256, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 256, 180224, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, b21e6, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 2c000, ,,,,,,,, 
 79,   Resize, 128, 24, 24, 128, 48, 48, 128,  COL, 0, 0, 651, 626, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90112, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 128, 319616, 50, 4e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 80,   Concat, 256, 48, 48, 256, 48, 48, 256,  COL, 0, 0, 2351, 2352, 4, 1, 4,,,,,,,,, L2, DMA, 2496, 2496, 128, 319488, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 256, 639104, 50, 4e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 81,     Conv, 256, 48, 48, 64, 48, 48, 256, ROW_L, 0, 0, 768, 2352, 4, 1, 4,,,,,,,,, L2, DMA, 1600, 1600, 256, 411136, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, c824e, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, 64600, ,,,,,,,, 
 82,     Conv, 64, 48, 48, 64, 48, 48, 64, ROW_L, 0, 0, 2352, 2352, 1, 1, 1,,,,,,,,, L2, DMA, 2368, 2368, 64, 151552, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, c824e, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 25000, ,,,,,,,, 
 83,     Conv, 64, 48, 48, 64, 48, 48, 64, ROW_L, 100, 128, 2323, 2451, 1, 1, 1,,,,,,,,, L2, DMA, 2496, 2496, 64, 159744, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 121d4e, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 27000, ,,,,,,,, 
 84,     Conv, 256, 48, 48, 64, 48, 48, 256, ROW_L, 0, 0, 768, 2352, 4, 1, 4,,,,,,,,, L2, DMA, 1600, 1600, 256, 411136, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 64, 159872, 50, 148dce, ,,,,,,,, L2, DMA, 320, 257, 64, 20480, 0, 64600, ,,,,,,,, 
 85,   Concat, 128, 48, 48, 128, 48, 48, 128,  COL, 0, 0, 2351, 2352, 1, 1, 1,,,,,,,,, L2, DMA, 2496, 2496, 128, 319488, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 128, 319616, 50, cdce, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 86,     Conv, 128, 48, 48, 128, 48, 48, 128, ROW_L, 0, 0, 1600, 2352, 2, 1, 2,,,,,,,,, L2, DMA, 3264, 3264, 128, 417792, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 128, 319616, 50, cdce, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 66000, ,,,,,,,, 
 87,     Conv, 128, 48, 48, 21, 48, 48, 128, ROW_L, 0, 0, 1728, 2352, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 128, 450560, 0, 0, ,,,,,,,, MSMC, CPU, 2496, 2451, 21, 52608, 50, 4e, ,,,,,,,, L2, DMA, 192, 129, 21, 4096, 0, 6e000, ,,,,,,,, 
 88,     Conv, 128, 48, 48, 128, 24, 24, 128, ROW_L, 50, 50, 1078, 2402, 3, 1, 3,,,,,,,,, L2, DMA, 2240, 2240, 128, 287872, 0, 0, ,,,,,,,, MSMC, CPU, 704, 577, 128, 90240, 0, 9c100, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 46480, ,,,,,,,, 
 89,   Concat, 256, 24, 24, 256, 24, 24, 256,  COL, 0, 0, 576, 576, 1, 1, 1,,,,,,,,, L2, DMA, 576, 576, 256, 147456, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 256, 180352, 26, cde6, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 90,     Conv, 256, 24, 24, 128, 24, 24, 256, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 256, 180224, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 38e66, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 2c000, ,,,,,,,, 
 91,     Conv, 128, 24, 24, 128, 24, 24, 128, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90112, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 38e66, ,,,,,,,, L2, DMA, 192, 129, 128, 24576, 0, 16000, ,,,,,,,, 
 92,     Conv, 128, 24, 24, 128, 24, 24, 128, ROW_L, 52, 64, 587, 651, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 128, 90112, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 38e66, ,,,,,,,, L2, DMA, 1216, 1153, 128, 155648, 0, 16000, ,,,,,,,, 
 93,     Conv, 256, 24, 24, 128, 24, 24, 256, ROW_L, 0, 0, 600, 600, 1, 1, 1,,,,,,,,, L2, DMA, 704, 704, 256, 180224, 0, 0, ,,,,,,,, MSMC, CPU, 704, 651, 128, 90240, 26, 4eee6, ,,,,,,,, L2, DMA, 320, 257, 128, 40960, 0, 2c000, ,,,,,,,, 
